"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|FI","Without sequence","28.78","",""
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|FI","Without sequence","28.45","",""
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|FI","Without sequence","27.9","",""
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|FI","Without sequence","27.52","",""
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|FI","Without sequence","27.54","",""
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|FI","Without sequence","26.55","",""
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|FI","Without sequence","25.83","",""
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|FI","Without sequence","25.07","",""
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|FI","Without sequence","25.65","",""
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|FI","Without sequence","26.15","",""
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|FI","Without sequence","26.77","",""
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|FI","Without sequence","27.4","",""
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|FI","Without sequence","28.08","",""
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|FI","Without sequence","28.69","",""
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|FI","Without sequence","29.37","",""
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|FI","Without sequence","29.97","",""
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|FI","Without sequence","30.46","",""
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|FI","Without sequence","30.39","",""
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|FI","Without sequence","30.06","",""
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|FI","Without sequence","29.38","",""
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|FI","Without sequence","27.65","",""
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|FI","Without sequence","27.33","",""
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|FI","Without sequence","25.88","",""
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|FI","Without sequence","24.81","",""
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|FI","Without sequence","12.07","",""
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|FI","Without sequence","13.13","",""
"02/01/2020 02:00:00 - 02/01/2020 03:00:00","BZN|FI","Without sequence","19.07","",""
"02/01/2020 03:00:00 - 02/01/2020 04:00:00","BZN|FI","Without sequence","21.12","",""
"02/01/2020 04:00:00 - 02/01/2020 05:00:00","BZN|FI","Without sequence","24.29","",""
"02/01/2020 05:00:00 - 02/01/2020 06:00:00","BZN|FI","Without sequence","26.27","",""
"02/01/2020 06:00:00 - 02/01/2020 07:00:00","BZN|FI","Without sequence","27.74","",""
"02/01/2020 07:00:00 - 02/01/2020 08:00:00","BZN|FI","Without sequence","28.39","",""
"02/01/2020 08:00:00 - 02/01/2020 09:00:00","BZN|FI","Without sequence","29.37","",""
"02/01/2020 09:00:00 - 02/01/2020 10:00:00","BZN|FI","Without sequence","29.95","",""
"02/01/2020 10:00:00 - 02/01/2020 11:00:00","BZN|FI","Without sequence","29.91","",""
"02/01/2020 11:00:00 - 02/01/2020 12:00:00","BZN|FI","Without sequence","29.96","",""
"02/01/2020 12:00:00 - 02/01/2020 13:00:00","BZN|FI","Without sequence","29.94","",""
"02/01/2020 13:00:00 - 02/01/2020 14:00:00","BZN|FI","Without sequence","29.94","",""
"02/01/2020 14:00:00 - 02/01/2020 15:00:00","BZN|FI","Without sequence","30.18","",""
"02/01/2020 15:00:00 - 02/01/2020 16:00:00","BZN|FI","Without sequence","30.96","",""
